"OBJECTID","GISPROPNUM","DEPARTMENT,C,25","ACRES","JURISDICTION","NAME","SHAPE_STA","SHAPE_STL","PRM"
6415,"B556","B-04",0.09700000000,"DPR","Garden",4227.92933655000,272.94386701900,"Emilio Llopiz"
6416,"Q505","Q-14",1.49200000000,"DPR","Culinary Kids Garden",6500.07728577000,330.00358372600,"Dan Piastuck"
6417,"B080","B-13",21.03900000000,"DPR","Asser Levy Park",916493.40506000000,8259.02079333000,"James Cruickshank"
6418,"B169","B-13",399.47300000000,"DPR","Coney Island Beach & Boardwalk",17401082.63820000000,29106.33729780000,"James Cruickshank"
6419,"B065","B-12",140.00000000000,"DPR/CDOT","Ocean Parkway Malls",1475781.28355000000,106039.71882100000,"Elizabeth Walsack"
6420,"B166","B-15",760.43000000000,"DPR/CDOT","Belt Parkway/Shore Parkway",13794405.33170000000,294011.94625100000,"James Cruickshank"
6421,"X092","X-13",1146.43000000000,"DPR","Van Cortlandt Park",46849162.34950000000,110486.51467500000,"Patricia Ferguson"
6422,"X353","X-03",1.07500000000,"DPR","Melrose Commons Park",46863.24557500000,892.60080997300,"Christopher Acosta"
6423,"X352","X-01",0.10100000000,"DPR","Family Group Garden",4585.00842285000,291.16753631300,"Eduardo Hernandez"
6424,"B400","B-03",0.80900000000,"DPR","Hattie Carthan Community Garden",36913.09141540000,784.15379894600,"C. Ronald Taylor"
6425,"Q433A","Q-10",0.00800000000,"DPR","Park",364.14888000500,734.27750584200,"Joseph Mauro"
6426,"Q084","Q-08",180.00000000000,"DPR/CDOT","Grand Central Parkway",6940766.46259000000,150376.04425100000,"Vacant"
6427,"B529","B-01",35.53300000000,"DPR","Bushwick Inlet Park",1555173.40749000000,10482.54017130000,"Shavonne Vyphius"
6428,"X354","X-01",1.10700000000,"DPR/DOE","P.S. 29 Ballfield",48226.85914610000,879.34895966000,"Eduardo Hernandez"
6429,"M108G","M-15",1.05200000000,"DPR, NYCHA","Playground 103 CIII",47824.41574100000,967.04576156600,"Mark Vaccaro"
6430,"X094","X-05",7.15600000000,"DPR","Bridge Park",311743.63290400000,6340.78338692000,"Eduardo Hernandez"
6431,"B210S","B-10",0.00400000000,"DPR","Park",214.36537170400,421.66878651400,"Elizabeth Walsack"
6432,"Q460","Q-14",1.55000000000,"DPR","Broad Channel Park",67525.98652650000,1426.39279046000,"Dan Piastuck"
6433,"X101","X-10",229.14000000000,"DPR","Hutchinson River Parkway",4978404.37573000000,119054.92833500000,"Michael Holoszyc"
6434,"X039","X-15",2771.74700000000,"DPR","Pelham Bay Park",116751207.71100000000,189142.27416700000,"Kristine Zagorski-Kelly"
6435,"B141","B-05",6.05000000000,"DPR","City Line Park",263539.57356300000,3968.86669906000,"Emilio Llopiz"
6436,"X149","X-10",0.39000000000,"DPR","Miele Park",9026.06176758000,498.13974653200,"Michael Holoszyc"
6437,"B007","B-11",17.50000000000,"DPR","Bensonhurst Park",753362.90510600000,5297.61266768000,"Elizabeth Walsack"
6438,"B394","B-18",64.66500000000,"DPR","Four Sparrow Marsh",2816864.91100000000,8065.67373533000,"Martin Geoffrey"
6439,"Q165","Q-10",57.92100000000,"DPR","Spring Creek Park Addition",2522771.46898000000,9561.46869687000,"Joseph Mauro"
6440,"B384","B-18",77.04400000000,"DPR","Fresh Creek Nature Preserve",3356058.13463000000,15401.99875350000,"Martin Geoffrey"
6441,"B165A","B-18",2.20300000000,"DPR","Spring Creek Park",95992.60131840000,1586.41492488000,"Martin Geoffrey"
6442,"B018","B-18",132.20000000000,"DPR","Canarsie Park",5911347.60918000000,16663.90624520000,"Martin Geoffrey"
6443,"B371","B-05",42.58300000000,"DPR","Spring Creek Park",1782672.21669000000,16215.85533620000,"Emilio Llopiz"
6444,"B057","B-18",798.00000000000,"DPR","Marine Park",37618588.65800000000,81551.81018730000,"Martin Geoffrey"
6445,"M157","M-06",0.00000000000,"-",,55346.05592350000,1178.19897971000,"Mark Vaccaro"
6446,"M151","M-09",0.00000000000,"-",,7043.54534912000,514.41783430500,"Robert McLean"
6447,"X191C","X-10",0.00000000000,"-",,3011.63169861000,2251.39440476000,"Michael Holoszyc"
6449,"B497","B-05",0.00000000000,"-",,4803.51530457000,289.21280322300,"Emilio Llopiz"
6450,"Q138","Q-02",0.00000000000,"-",,2849.36946106000,283.70327516500,"Norman Chan"
6451,"X148J1","X-06",0.00000000000,"-",,1733.46810913000,779.60783199100,"Christopher Acosta"
6452,"X072","X-07",0.00000000000,"-",,20465.71315000000,1884.19515703000,"Tony Rosa"
6453,"R057","R-01",0.00000000000,"-",,43942.58090210000,1083.67803824000,"Tony Arcamone"
6454,"B120","B-06",0.00000000000,"-",,77028.99400330000,1729.65374753000,"Macceau Medozile"
6455,"R014","R-02",0.00000000000,"-","Michael J. Leonard Memorial Plaza",1340.50430298000,156.55732040600,"Bonnie Williams"
6456,"Q154","Q-09",0.00000000000,"-",,2832.18905640000,271.25774576200,"Vacant"
6457,"Q220H","Q-09",0.00000000000,"-",,10280.39967350000,451.23529875300,"Vacant"
6458,"B059","B-01",0.00000000000,"-",,62637.15063480000,1023.40643220000,"Shavonne Vyphius"
6459,"B067","B-10",0.00000000000,"-","Old Glory Lookout",80.44865417480,31.83417830240,"Elizabeth Walsack"
6460,"B069","B-14",0.00000000000,"-","Parade Place",46559.58480830000,1330.95680394000,"Stephanie Thayer"
6461,"B053","B-09",0.00000000000,"-",,84384.94940190000,2759.11344813000,"C. Ronald Taylor"
6462,"B074","B-08",0.00000000000,"-","Prospect Place",54132.26148990000,1927.68809181000,"C. Ronald Taylor"
6463,"B075","B-02",0.00000000000,"-","Remembrance Pier",10560.00645450000,668.09889117900,"Tannise Palmer"
6464,"B076","B-01",0.00000000000,"-","Recreation Pier",10508.56959530000,514.10023220300,"Shavonne Vyphius"
6465,"B081","B-07",0.00000000000,"-",,11701.58567810000,521.20632278300,"Macceau Medozile"
6466,"B113F","B-02",0.00000000000,"-","Columbus Plaza",124259.94921900000,1419.87423396000,"Tannise Palmer"
6467,"X191B","X-10",0.00000000000,"-",,129476.83480800000,1790.17915950000,"Michael Holoszyc"
6468,"Q360K","Q-04",0.00000000000,"-",,982.02624511700,997.98766195100,"Eric Goetz"
6469,"B210K","B-07",0.00000000000,"-",,65618.77328490000,1207.32759854000,"Macceau Medozile"
6470,"BU002","B-07",0.00000000000,"-",,8253.38737488000,507.76973254200,"Macceau Medozile"
6471,"B210E","B-07",0.00000000000,"-",,7592.57542419000,920.51236001800,"Macceau Medozile"
6472,"BU003","B-06",0.00000000000,"-",,25294.84915160000,735.98393540200,"Macceau Medozile"
6473,"Q191","Q-02",0.00000000000,"-","Patrick Jerome Gleason Square",1406.54357910000,174.33403978300,"Norman Chan"
6474,"Q071","Q-02",0.00000000000,"-",,1202.50599670000,167.91500478600,"Norman Chan"
6475,"Q093","Q-10",0.00000000000,"-",,235787.60636900000,3049.23242223000,"Joseph Mauro"
6476,"Q096F","Q-13",0.00000000000,"-",,51146.01084900000,1019.84523311000,"Joe Block"
6477,"B223L","B-02",0.00000000000,"-",,7521.33212280000,350.67181607700,"Tannise Palmer"
6478,"Q175","Q-02",0.00000000000,"-",,2144.77868652000,224.64085350700,"Norman Chan"
6479,"Q205","Q-01",0.00000000000,"-",,1352.82402039000,180.52001964900,"Norman Chan"
6480,"X144","X-01",0.00000000000,"-",,6760.55859375000,335.21136487600,"Eduardo Hernandez"
6481,"X173","X-09",0.00000000000,"-",,65380.72282410000,1073.68426651000,"Michael Holoszyc"
6482,"X192","X-06",0.00000000000,"-",,10976.39530940000,572.85190223300,"Christopher Acosta"
6483,"Q311","Q-04",0.00000000000,"-",,113709.08641100000,1357.53992504000,"Eric Goetz"
6484,"Q315","Q-12",0.00000000000,"-",,2626.91268921000,252.54960031700,"Joseph Mauro"
6485,"BU001","X-09",0.00000000000,"-",,320.67294311500,543.69930037200,"Michael Holoszyc"
6487,"Q162G02","Q-14",0.00000000000,"-",,3404.67985535000,249.32470310400,"Dan Piastuck"
6488,"Q162G01","Q-14",0.00000000000,"-",,7692.33621216000,450.10360359600,"Dan Piastuck"
6489,"Q162B","Q-14",0.00000000000,"-",,55397.08454900000,1126.86800298000,"Dan Piastuck"
